TimeKey,Time,Hour,Minute,Hour12Label,ShiftName,ShiftKey,IsNightShift,HalfHourBucket,PortWorkingWindow
0,00:00:00,0,0,12 AM,C,3,1,00:00,0
1,00:01:00,0,1,12 AM,C,3,1,00:00,0
2,00:02:00,0,2,12 AM,C,3,1,00:00,0
3,00:03:00,0,3,12 AM,C,3,1,00:00,0
4,00:04:00,0,4,12 AM,C,3,1,00:00,0
5,00:05:00,0,5,12 AM,C,3,1,00:00,0
6,00:06:00,0,6,12 AM,C,3,1,00:00,0
7,00:07:00,0,7,12 AM,C,3,1,00:00,0
8,00:08:00,0,8,12 AM,C,3,1,00:00,0
9,00:09:00,0,9,12 AM,C,3,1,00:00,0
10,00:10:00,0,10,12 AM,C,3,1,00:00,0
11,00:11:00,0,11,12 AM,C,3,1,00:00,0
12,00:12:00,0,12,12 AM,C,3,1,00:00,0
13,00:13:00,0,13,12 AM,C,3,1,00:00,0
14,00:14:00,0,14,12 AM,C,3,1,00:00,0
15,00:15:00,0,15,12 AM,C,3,1,00:00,0
16,00:16:00,0,16,12 AM,C,3,1,00:00,0
17,00:17:00,0,17,12 AM,C,3,1,00:00,0
18,00:18:00,0,18,12 AM,C,3,1,00:00,0
19,00:19:00,0,19,12 AM,C,3,1,00:00,0
20,00:20:00,0,20,12 AM,C,3,1,00:00,0
21,00:21:00,0,21,12 AM,C,3,1,00:00,0
22,00:22:00,0,22,12 AM,C,3,1,00:00,0
23,00:23:00,0,23,12 AM,C,3,1,00:00,0
24,00:24:00,0,24,12 AM,C,3,1,00:00,0
25,00:25:00,0,25,12 AM,C,3,1,00:00,0
26,00:26:00,0,26,12 AM,C,3,1,00:00,0
27,00:27:00,0,27,12 AM,C,3,1,00:00,0
28,00:28:00,0,28,12 AM,C,3,1,00:00,0
29,00:29:00,0,29,12 AM,C,3,1,00:00,0
30,00:30:00,0,30,12 AM,C,3,1,00:30,0
31,00:31:00,0,31,12 AM,C,3,1,00:30,0
32,00:32:00,0,32,12 AM,C,3,1,00:30,0
33,00:33:00,0,33,12 AM,C,3,1,00:30,0
34,00:34:00,0,34,12 AM,C,3,1,00:30,0
35,00:35:00,0,35,12 AM,C,3,1,00:30,0
36,00:36:00,0,36,12 AM,C,3,1,00:30,0
37,00:37:00,0,37,12 AM,C,3,1,00:30,0
38,00:38:00,0,38,12 AM,C,3,1,00:30,0
39,00:39:00,0,39,12 AM,C,3,1,00:30,0
40,00:40:00,0,40,12 AM,C,3,1,00:30,0
41,00:41:00,0,41,12 AM,C,3,1,00:30,0
42,00:42:00,0,42,12 AM,C,3,1,00:30,0
43,00:43:00,0,43,12 AM,C,3,1,00:30,0
44,00:44:00,0,44,12 AM,C,3,1,00:30,0
45,00:45:00,0,45,12 AM,C,3,1,00:30,0
46,00:46:00,0,46,12 AM,C,3,1,00:30,0
47,00:47:00,0,47,12 AM,C,3,1,00:30,0
48,00:48:00,0,48,12 AM,C,3,1,00:30,0
49,00:49:00,0,49,12 AM,C,3,1,00:30,0
50,00:50:00,0,50,12 AM,C,3,1,00:30,0
51,00:51:00,0,51,12 AM,C,3,1,00:30,0
52,00:52:00,0,52,12 AM,C,3,1,00:30,0
53,00:53:00,0,53,12 AM,C,3,1,00:30,0
54,00:54:00,0,54,12 AM,C,3,1,00:30,0
55,00:55:00,0,55,12 AM,C,3,1,00:30,0
56,00:56:00,0,56,12 AM,C,3,1,00:30,0
57,00:57:00,0,57,12 AM,C,3,1,00:30,0
58,00:58:00,0,58,12 AM,C,3,1,00:30,0
59,00:59:00,0,59,12 AM,C,3,1,00:30,0
100,01:00:00,1,0,1 AM,C,3,1,01:00,0
101,01:01:00,1,1,1 AM,C,3,1,01:00,0
102,01:02:00,1,2,1 AM,C,3,1,01:00,0
103,01:03:00,1,3,1 AM,C,3,1,01:00,0
104,01:04:00,1,4,1 AM,C,3,1,01:00,0
105,01:05:00,1,5,1 AM,C,3,1,01:00,0
106,01:06:00,1,6,1 AM,C,3,1,01:00,0
107,01:07:00,1,7,1 AM,C,3,1,01:00,0
108,01:08:00,1,8,1 AM,C,3,1,01:00,0
109,01:09:00,1,9,1 AM,C,3,1,01:00,0
110,01:10:00,1,10,1 AM,C,3,1,01:00,0
111,01:11:00,1,11,1 AM,C,3,1,01:00,0
112,01:12:00,1,12,1 AM,C,3,1,01:00,0
113,01:13:00,1,13,1 AM,C,3,1,01:00,0
114,01:14:00,1,14,1 AM,C,3,1,01:00,0
115,01:15:00,1,15,1 AM,C,3,1,01:00,0
116,01:16:00,1,16,1 AM,C,3,1,01:00,0
117,01:17:00,1,17,1 AM,C,3,1,01:00,0
118,01:18:00,1,18,1 AM,C,3,1,01:00,0
119,01:19:00,1,19,1 AM,C,3,1,01:00,0
120,01:20:00,1,20,1 AM,C,3,1,01:00,0
121,01:21:00,1,21,1 AM,C,3,1,01:00,0
122,01:22:00,1,22,1 AM,C,3,1,01:00,0
123,01:23:00,1,23,1 AM,C,3,1,01:00,0
124,01:24:00,1,24,1 AM,C,3,1,01:00,0
125,01:25:00,1,25,1 AM,C,3,1,01:00,0
126,01:26:00,1,26,1 AM,C,3,1,01:00,0
127,01:27:00,1,27,1 AM,C,3,1,01:00,0
128,01:28:00,1,28,1 AM,C,3,1,01:00,0
129,01:29:00,1,29,1 AM,C,3,1,01:00,0
130,01:30:00,1,30,1 AM,C,3,1,01:30,0
131,01:31:00,1,31,1 AM,C,3,1,01:30,0
132,01:32:00,1,32,1 AM,C,3,1,01:30,0
133,01:33:00,1,33,1 AM,C,3,1,01:30,0
134,01:34:00,1,34,1 AM,C,3,1,01:30,0
135,01:35:00,1,35,1 AM,C,3,1,01:30,0
136,01:36:00,1,36,1 AM,C,3,1,01:30,0
137,01:37:00,1,37,1 AM,C,3,1,01:30,0
138,01:38:00,1,38,1 AM,C,3,1,01:30,0
139,01:39:00,1,39,1 AM,C,3,1,01:30,0
140,01:40:00,1,40,1 AM,C,3,1,01:30,0
141,01:41:00,1,41,1 AM,C,3,1,01:30,0
142,01:42:00,1,42,1 AM,C,3,1,01:30,0
143,01:43:00,1,43,1 AM,C,3,1,01:30,0
144,01:44:00,1,44,1 AM,C,3,1,01:30,0
145,01:45:00,1,45,1 AM,C,3,1,01:30,0
146,01:46:00,1,46,1 AM,C,3,1,01:30,0
147,01:47:00,1,47,1 AM,C,3,1,01:30,0
148,01:48:00,1,48,1 AM,C,3,1,01:30,0
149,01:49:00,1,49,1 AM,C,3,1,01:30,0
